1000002,Kabul,,Afghanistan,AF
1000449,Mount Gambier,South Australia,Australia,AU
1000450,Murray Bridge,South Australia,Australia,AU
1000456,Port Augusta,South Australia,Australia,AU
1000457,Port Lincoln,South Australia,Australia,AU
1000458,Port Pirie,South Australia,Australia,AU
1000469,Whyalla,South Australia,Australia,AU
1000476,Burnie - Somerset,Tasmania,Australia,AU
1000479,Devonport,Tasmania,Australia,AU
1000480,Hobart,Tasmania,Australia,AU
1000481,Launceston,Tasmania,Australia,AU
1000485,Ulverstone,Tasmania,Australia,AU
1000490,Bacchus Marsh,Victoria,Australia,AU
1000491,Bairnsdale,Victoria,Australia,AU
1000492,Ballarat,Victoria,Australia,AU
1000498,Bendigo,Victoria,Australia,AU
1000521,Cranbourne,Victoria,Australia,AU
1000530,Echuca,Victoria,Australia,AU
1000537,Geelong,Victoria,Australia,AU
1000549,Horsham,Victoria,Australia,AU
1000550,Palmerston City,Northern Territory,Australia,AU
1000567,Melbourne,Victoria,Australia,AU
1000568,Melton,Victoria,Australia,AU
1000571,Mildura,Victoria,Australia,AU
1000572,Moe - Newborough,Victoria,Australia,AU
1000576,Morwell,Victoria,Australia,AU
1000588,Colac,Victoria,Australia,AU
1000590,Pakenham,Victoria,Australia,AU
1000593,Portland,Victoria,Australia,AU
1000594,Central Coast,New South Wales,Australia,AU
1000599,Casino,New South Wales,Australia,AU
1000602,Sale,Victoria,Australia,AU
1000605,Shepparton - Mooroopna,Victoria,Australia,AU
1000609,Sunbury,Victoria,Australia,AU
1000614,Traralgon,Victoria,Australia,AU
1000616,Wangaratta,Victoria,Australia,AU
1000620,Warrnambool,Victoria,Australia,AU
1000630,Albany,Western Australia,Australia,AU
1000635,Broome,Western Australia,Australia,AU
1000636,Bunbury,Western Australia,Australia,AU
1000637,Busselton,Western Australia,Australia,AU
1000650,Geraldton,Western Australia,Australia,AU
1000652,Hervey Bay,Queensland,Australia,AU
1000653,Kalgoorlie - Boulder,Western Australia,Australia,AU
1000654,Karratha,Western Australia,Australia,AU
1000658,Kwinana Town Centre,Western Australia,Australia,AU
1000662,Mandurah,Western Australia,Australia,AU
1000665,Gold Coast,Queensland,Australia,AU
1000676,Perth,Western Australia,Australia,AU
1000678,Port Hedland,Western Australia,Australia,AU
1000679,Rockingham,Western Australia,Australia,AU
1000683,Bad Tatzmannsdorf,Burgenland,Austria,AT
1000684,Eisenstadt,Burgenland,Austria,AT
1000685,Grosspetersdorf,Burgenland,Austria,AT
1000686,Jennersdorf,Burgenland,Austria,AT
1000687,Landsee,Burgenland,Austria,AT
1000688,Lockenhaus,Burgenland,Austria,AT
1000689,Mattersburg,Burgenland,Austria,AT
1000690,Neusiedl am See,Burgenland,Austria,AT
1000691,Oberpullendorf,Burgenland,Austria,AT
1000692,Oberwart,Burgenland,Austria,AT
1000693,Parndorf,Burgenland,Austria,AT
1000694,Wimpassing an der Leitha,,Austria,AT
1000695,Arnoldstein,Carinthia,Austria,AT
1000696,Bad Sankt Leonhard im Lavanttal,Carinthia,Austria,AT
1000697,Bad Bleiberg,Carinthia,Austria,AT
1000698,Feistritz an der Drau,Carinthia,Austria,AT
1000699,Frantschach,Carinthia,Austria,AT
1000700,Friesach,Carinthia,Austria,AT
1000701,Klagenfurt,Carinthia,Austria,AT
1000702,Mallnitz,Carinthia,Austria,AT
1000703,Neudorfl,Burgenland,Austria,AT
1000704,Radenthein,Carinthia,Austria,AT
1000705,Treffen,Carinthia,Austria,AT
1000707,Villach,Carinthia,Austria,AT
1000708,Wernberg,Carinthia,Austria,AT
1000709,Amstetten,Lower Austria,Austria,AT
1000710,Baden bei Wien,Lower Austria,Austria,AT
1000711,Bruck an der Leitha,Lower Austria,Austria,AT
1000712,Ebergassing,Lower Austria,Austria,AT
1000713,Eggenburg,Lower Austria,Austria,AT
1000714,Enzesfeld,Lower Austria,Austria,AT
1000715,Gablitz,Lower Austria,Austria,AT
1000716,Gaming,Lower Austria,Austria,AT
1000717,Gars am Kamp,Lower Austria,Austria,AT
1000718,Gerasdorf,Lower Austria,Austria,AT
1000719,Gloggnitz,Lower Austria,Austria,AT
1000720,Gresten,Lower Austria,Austria,AT
1000721,Gross-Enzersdorf,Lower Austria,Austria,AT
1000722,Gumpoldskirchen,Lower Austria,Austria,AT
1000723,Guntramsdorf,Lower Austria,Austria,AT
1000724,Hainburg an der Donau,Lower Austria,Austria,AT
1000725,Hainfeld,Lower Austria,Austria,AT
1000727,Heidenreichstein,Lower Austria,Austria,AT
1000728,Herzogenburg,Lower Austria,Austria,AT
1000729,Himberg,Lower Austria,Austria,AT
1000731,Hirtenberg,Lower Austria,Austria,AT
1000733,Hohenberg,Lower Austria,Austria,AT
1000734,Hollabrunn,Lower Austria,Austria,AT
1000735,Horn,Lower Austria,Austria,AT
1000736,Kaltenleutgeben,Lower Austria,Austria,AT
1000737,Kirchberg am Wechsel,Lower Austria,Austria,AT
1000738,Klosterneuburg,Lower Austria,Austria,AT
1000739,Korneuburg,Lower Austria,Austria,AT
1000740,Kottingbrunn,Lower Austria,Austria,AT
1000741,Krems an der Donau,Lower Austria,Austria,AT
1000742,Langenzersdorf,Lower Austria,Austria,AT
1000743,Lanzendorf,Lower Austria,Austria,AT
1000744,Laxenburg,Lower Austria,Austria,AT
1000745,Leopoldsdorf,Lower Austria,Austria,AT
1000746,Lilienfeld,Lower Austria,Austria,AT
1000747,Lunz am See,Lower Austria,Austria,AT
1000748,Mank,Lower Austria,Austria,AT
1000749,Maria Enzersdorf,Lower Austria,Austria,AT
1000750,Melk,Lower Austria,Austria,AT
1000751,Mistelbach,Lower Austria,Austria,AT
1000752,Mitterbach am Erlaufsee,Lower Austria,Austria,AT
1000753,Modling,Lower Austria,Austria,AT
1000754,Monichkirchen,Lower Austria,Austria,AT
1000755,Moosbrunn,Lower Austria,Austria,AT
1000757,Neulengbach,Lower Austria,Austria,AT
1000758,Neunkirchen,Lower Austria,Austria,AT
1000759,Ober-Grafendorf,Lower Austria,Austria,AT
1000763,Perchtoldsdorf,Lower Austria,Austria,AT
1000764,Pernitz,Lower Austria,Austria,AT
1000765,Pochlarn,Lower Austria,Austria,AT
1000766,Poysdorf,Lower Austria,Austria,AT
1000767,Pressbaum,Lower Austria,Austria,AT
1000768,Purkersdorf,Lower Austria,Austria,AT
1000769,Reichenau an der Rax,Lower Austria,Austria,AT
1000770,Retz,Lower Austria,Austria,AT
1000772,Saint Polten,Lower Austria,Austria,AT
1000773,Saint Valentin,Lower Austria,Austria,AT
1000774,Schrems,Lower Austria,Austria,AT
1000775,Schwadorf,Lower Austria,Austria,AT
1000776,Schwechat,Lower Austria,Austria,AT
1000777,Seitenstetten,Lower Austria,Austria,AT
1000779,Stockerau,Lower Austria,Austria,AT
1000780,Strasshof an der Nordbahn,Lower Austria,Austria,AT
1000781,Teesdorf,Lower Austria,Austria,AT
1000782,Ternitz,Lower Austria,Austria,AT
1000784,Traiskirchen,Lower Austria,Austria,AT
1000786,Tulln,Lower Austria,Austria,AT
1000788,Vosendorf,Lower Austria,Austria,AT
1000790,Waidhofen an der Ybbs,Lower Austria,Austria,AT
1000791,Wartmannstetten,Lower Austria,Austria,AT
1000792,Wiener Neudorf,Lower Austria,Austria,AT
1000793,Wiener Neustadt,Lower Austria,Austria,AT
1000794,Wolkersdorf,Lower Austria,Austria,AT
1000795,Ybbsitz,Lower Austria,Austria,AT
1000796,Ziersdorf,Lower Austria,Austria,AT
1000797,Zwettl,Lower Austria,Austria,AT
1000799,Alkoven,Upper Austria,Austria,AT
1000801,Altheim,Upper Austria,Austria,AT
1000802,Altmunster,Upper Austria,Austria,AT
1000803,Ansfelden,Upper Austria,Austria,AT
1000804,Bad Ischl,Upper Austria,Austria,AT
1000805,Braunau am Inn,Upper Austria,Austria,AT
1000806,Burgkirchen,Upper Austria,Austria,AT
1000807,Eferding,Upper Austria,Austria,AT
1000808,Eggelsberg,Upper Austria,Austria,AT
1000809,Enns,Upper Austria,Austria,AT
1000810,Esternberg,Upper Austria,Austria,AT
1000811,Feldkirchen an der Donau,Upper Austria,Austria,AT
1000812,Frankenburg,Upper Austria,Austria,AT
1000813,Frankenmarkt,Upper Austria,Austria,AT
1000814,Gallspach,Upper Austria,Austria,AT
1000815,Garsten,Upper Austria,Austria,AT
1000816,Gmunden,Upper Austria,Austria,AT
1000817,Grieskirchen,Upper Austria,Austria,AT
1000818,Gunskirchen,Upper Austria,Austria,AT
1000819,Gutau,Upper Austria,Austria,AT
1000820,Hagenberg,Upper Austria,Austria,AT
1000821,Horsching,Upper Austria,Austria,AT
1000822,Kirchdorf an der Krems,Upper Austria,Austria,AT
1000823,Kremsmunster,Upper Austria,Austria,AT
1000824,Laakirchen,Upper Austria,Austria,AT
1000825,Lenzing,Upper Austria,Austria,AT
1000826,Leonding,Upper Austria,Austria,AT
1000827,Linz,Upper Austria,Austria,AT
1000828,Marchtrenk,Upper Austria,Austria,AT
1000829,Mauthausen,Upper Austria,Austria,AT
1000830,Micheldorf in Oberosterreich,Upper Austria,Austria,AT
1000831,Mondsee,Upper Austria,Austria,AT
1000835,Niederwaldkirchen,Upper Austria,Austria,AT
1000836,Ohlsdorf,Upper Austria,Austria,AT
1000837,Ort,Upper Austria,Austria,AT
1000838,Pasching,Upper Austria,Austria,AT
1000839,Perg,Upper Austria,Austria,AT
1000840,Peuerbach,Upper Austria,Austria,AT
1000841,Pram,Upper Austria,Austria,AT
1000843,Ried im Innkreis,Upper Austria,Austria,AT
1000844,Sankt Florian,Upper Austria,Austria,AT
1000845,Scharding,Upper Austria,Austria,AT
1000846,Scharnstein,Upper Austria,Austria,AT
1000847,Schwertberg,Upper Austria,Austria,AT
1000848,Seewalchen am Attersee,Upper Austria,Austria,AT
1000849,Stadl-Paura,Upper Austria,Austria,AT
1000850,Steyr,Upper Austria,Austria,AT
1000851,Thalheim bei Wels,Upper Austria,Austria,AT
1000852,Traun,Upper Austria,Austria,AT
1000853,Vocklabruck,Upper Austria,Austria,AT
1000854,Vocklamarkt,Upper Austria,Austria,AT
1000855,Vorchdorf,Upper Austria,Austria,AT
1000856,Waldkirchen am Wesen,Upper Austria,Austria,AT
1000857,Wels,Upper Austria,Austria,AT
1000858,Wernstein am Inn,Upper Austria,Austria,AT
1000860,Anif,Salzburg,Austria,AT
1000861,Bad Hofgastein,Salzburg,Austria,AT
1000862,Badgastein,Salzburg,Austria,AT
1000863,Bergheim,Salzburg,Austria,AT
1000864,Bischofshofen,Salzburg,Austria,AT
1000865,Eugendorf,Salzburg,Austria,AT
1000866,Fusch,Salzburg,Austria,AT
1000867,Fuschl,Salzburg,Austria,AT
1000869,Grodig,Salzburg,Austria,AT
1000870,Hallein,Salzburg,Austria,AT
1000871,Kaprun,Salzburg,Austria,AT
1000872,Lofer,Salzburg,Austria,AT
1000873,Michaelbeuern,Salzburg,Austria,AT
1000874,Oberalm,Salzburg,Austria,AT
1000875,Pfarrwerfen,Salzburg,Austria,AT
1000876,Rauris,Salzburg,Austria,AT
1000877,Saalbach-Hinterglemm,Salzburg,Austria,AT
1000878,Salzburg,Salzburg,Austria,AT
1000879,Schwarzach im Pongau,Salzburg,Austria,AT
1000880,Siezenheim,Salzburg,Austria,AT
1000881,Tamsweg,Salzburg,Austria,AT
1000882,Thalgau,Salzburg,Austria,AT
1000884,Zell am See,Salzburg,Austria,AT
1000885,Admont,Styria,Austria,AT
1000886,Bad Gleichenberg,Styria,Austria,AT
1000887,Bad Radkersburg,Styria,Austria,AT
1000888,Birkfeld,Styria,Austria,AT
1000889,Bruck an der Mur,Styria,Austria,AT
1000890,Deutschlandsberg,Styria,Austria,AT
1000892,Ehrenhausen,Styria,Austria,AT
1000893,Eisenerz,Styria,Austria,AT
1000894,Feldbach,Styria,Austria,AT
1000895,Frauental an der Lassnitz,Styria,Austria,AT
1000896,Frohnleiten,Styria,Austria,AT
1000898,Gleisdorf,Styria,Austria,AT
1000899,Gratkorn,Styria,Austria,AT
1000900,Graz,Styria,Austria,AT
1000901,Hartberg,Styria,Austria,AT
1000902,Hausmannstatten,Styria,Austria,AT
1000903,Ilz,Styria,Austria,AT
1000904,Judenburg,Styria,Austria,AT
1000905,Kalsdorf bei Graz,Styria,Austria,AT
1000906,Kapfenberg,Styria,Austria,AT
1000907,Kindberg,Styria,Austria,AT
1000908,Knittelfeld,Styria,Austria,AT
1000909,Koflach,Styria,Austria,AT
1000910,Alpl,Styria,Austria,AT
1000911,Leibnitz,Styria,Austria,AT
1000912,Leoben,Styria,Austria,AT
1000913,Liezen,Styria,Austria,AT
1000914,Mariazell,Styria,Austria,AT
1000915,Murau,Styria,Austria,AT
1000916,Mureck,Styria,Austria,AT
1000917,Murzzuschlag,Styria,Austria,AT
1000918,Rottenmann,Styria,Austria,AT
1000919,Sankt Lambrecht,Styria,Austria,AT
1000920,Sankt Margarethen an der Raab,Styria,Austria,AT
1000922,Schladming,Styria,Austria,AT
1000924,Stubenberg,Styria,Austria,AT
1000925,Unterpremstatten,Styria,Austria,AT
1000926,Voitsberg,Styria,Austria,AT
1000927,Weiz,Styria,Austria,AT
1000928,Zeltweg,Styria,Austria,AT
1000929,Absam,Tyrol,Austria,AT
1000930,Achenkirch,Tyrol,Austria,AT
1000931,Axams,Tyrol,Austria,AT
1000932,Brixlegg,Tyrol,Austria,AT
1000933,Bruck am Ziller,Tyrol,Austria,AT
1000934,Ehrwald,Tyrol,Austria,AT
1000935,Fulpmes,Tyrol,Austria,AT
1000936,Galtur,Tyrol,Austria,AT
1000937,Hall in Tirol,Tyrol,Austria,AT
1000939,Hopfgarten im Brixental,Tyrol,Austria,AT
1000940,Imst,Tyrol,Austria,AT
1000941,Innsbruck,Tyrol,Austria,AT
1000942,Jenbach,Tyrol,Austria,AT
1000943,Kitzbuhel,Tyrol,Austria,AT
1000944,Kufstein,Tyrol,Austria,AT
1000945,Kundl,Tyrol,Austria,AT
1000946,Landeck,Tyrol,Austria,AT
1000947,Lermoos,Tyrol,Austria,AT
1000948,Lienz,Tyrol,Austria,AT
1000949,Mayrhofen,Tyrol,Austria,AT
1000950,Mieming,Tyrol,Austria,AT
1000951,Pians,Tyrol,Austria,AT
1000952,Pill,Tyrol,Austria,AT
1000953,Reutte,Tyrol,Austria,AT
1000954,Saint Anton am Arlberg,Tyrol,Austria,AT
1000955,Sankt Johann Im Walde,Tyrol,Austria,AT
1000956,Schwaz,Tyrol,Austria,AT
1000957,Seefeld,Tyrol,Austria,AT
1000958,Sillian,Tyrol,Austria,AT
1000959,Soelden,Tyrol,Austria,AT
1000960,Steeg,Tyrol,Austria,AT
1000962,Volders,Tyrol,Austria,AT
1000963,Vomp,Tyrol,Austria,AT
1000964,Walchsee,Tyrol,Austria,AT
1000965,Wattens,Tyrol,Austria,AT
1000966,Worgl,Tyrol,Austria,AT
1000967,Zams,Tyrol,Austria,AT
1000968,Zirl,Tyrol,Austria,AT
1000969,Altach,Vorarlberg,Austria,AT
1000970,Bezau,Vorarlberg,Austria,AT
1000971,Bludenz,Vorarlberg,Austria,AT
1000972,Brand,Vorarlberg,Austria,AT
1000973,Bregenz,Vorarlberg,Austria,AT
1000974,Dornbirn,Vorarlberg,Austria,AT
1000975,Egg,Vorarlberg,Austria,AT
1000976,Feldkirch,Vorarlberg,Austria,AT
1000978,Gotzis,Vorarlberg,Austria,AT
1000979,Hard,Vorarlberg,Austria,AT
1000981,Hochst,Vorarlberg,Austria,AT
1000982,Hohenems,Vorarlberg,Austria,AT
1000983,Kennelbach,Vorarlberg,Austria,AT
1000984,Koblach,Vorarlberg,Austria,AT
1000985,Lauterach,Vorarlberg,Austria,AT
1000986,Lech,Vorarlberg,Austria,AT
1000987,Lochau,Vorarlberg,Austria,AT
1000988,Lustenau,Vorarlberg,Austria,AT
1000989,Nenzing,Vorarlberg,Austria,AT
1000990,Rankweil,Vorarlberg,Austria,AT
1000991,Schlins,Vorarlberg,Austria,AT
1000992,Schruns,Vorarlberg,Austria,AT
1000993,Schwarzach,Vorarlberg,Austria,AT
1000994,Sulzberg,Vorarlberg,Austria,AT
1000996,Wolfurt,Vorarlberg,Austria,AT
1000997,Vienna,Vienna,Austria,AT
1000998,Baku,,Azerbaijan,AZ
1001001,Anderlecht,Brussels,Belgium,BE
1001003,Bertem,Flanders,Belgium,BE
1001004,Brussels,Brussels,Belgium,BE
1001006,Etterbeek,Brussels,Belgium,BE
1001007,Evere,Brussels,Belgium,BE
1001009,Hoeilaart,Flanders,Belgium,BE
1001010,Ixelles,Brussels,Belgium,BE
1001011,Jette,Brussels,Belgium,BE
1001012,Kraainem,Flanders,Belgium,BE
1001015,Schaerbeek,Brussels,Belgium,BE
1001018,Uccle,Brussels,Belgium,BE
1001019,Wezembeek-Oppem,Flanders,Belgium,BE
1001020,Woluwe-Saint-Lambert,Brussels,Belgium,BE
1001021,Antwerp,Flanders,Belgium,BE
1001022,Arendonk,Flanders,Belgium,BE
1001025,Balen,Flanders,Belgium,BE
1001026,Beerse,Flanders,Belgium,BE
1001027,Boechout,Flanders,Belgium,BE
1001028,Bonheiden,Flanders,Belgium,BE
1001030,Boom,Flanders,Belgium,BE
1001032,Bornem,Flanders,Belgium,BE
1001034,Brasschaat,Flanders,Belgium,BE
1001038,Duffel,Flanders,Belgium,BE
1001039,Edegem,Flanders,Belgium,BE
1001041,Essen,Flanders,Belgium,BE
1001042,Geel,Flanders,Belgium,BE
1001044,Grobbendonk,Flanders,Belgium,BE
1001045,Heist-op-den-Berg,Flanders,Belgium,BE
1001046,Hemiksem,Flanders,Belgium,BE
1001047,Herentals,Flanders,Belgium,BE
1001049,Hoogstraten,Flanders,Belgium,BE
1001051,Kalmthout,Flanders,Belgium,BE
1001052,Kapellen,Flanders,Belgium,BE
1001054,Kontich,Flanders,Belgium,BE
1001057,Lier,Flanders,Belgium,BE
1001058,Malle,Flanders,Belgium,BE
1001059,Mechelen,Flanders,Belgium,BE
1001062,Mol,Flanders,Belgium,BE
1001063,Mortsel,Flanders,Belgium,BE
1001066,Olen,Flanders,Belgium,BE
1001068,Puurs,Flanders,Belgium,BE
1001070,Rijkevorsel,Flanders,Belgium,BE
1001071,Rumst,Flanders,Belgium,BE
1001072,Schelle,Flanders,Belgium,BE
1001073,Schilde,Flanders,Belgium,BE
1001074,Schoten,Flanders,Belgium,BE
1001076,Sint-Amands,Flanders,Belgium,BE
1001078,Stabroek,Flanders,Belgium,BE
1001080,Turnhout,Flanders,Belgium,BE
1001082,Vosselaar,Flanders,Belgium,BE
1001083,Westerlo,Flanders,Belgium,BE
1001084,Wijnegem,Flanders,Belgium,BE
1001085,Willebroek,Flanders,Belgium,BE
1001087,Wommelgem,Flanders,Belgium,BE
1001088,Zandhoven,Flanders,Belgium,BE
1001089,Zoersel,Flanders,Belgium,BE
1001090,Zwijndrecht,Flanders,Belgium,BE
1001091,Aarschot,Flanders,Belgium,BE
1001092,Asse,Flanders,Belgium,BE
1001094,Beauvechain,Walloon Region,Belgium,BE
1001095,Begijnendijk,Flanders,Belgium,BE
1001097,Bierbeek,Flanders,Belgium,BE
1001098,Boutersem,Flanders,Belgium,BE
1001100,Dilbeek,Flanders,Belgium,BE
1001104,Grimbergen,Flanders,Belgium,BE
1001105,Haacht,Flanders,Belgium,BE
1001107,Halle,Flanders,Belgium,BE
1001108,Herent,Flanders,Belgium,BE
1001110,Holsbeek,Flanders,Belgium,BE
1001112,Keerbergen,Flanders,Belgium,BE
1001116,Kortenberg,Flanders,Belgium,BE
1001117,Lennik,Flanders,Belgium,BE
1001118,Leuven,Flanders,Belgium,BE
1001121,Londerzeel,Flanders,Belgium,BE
1001122,Lubbeek,Flanders,Belgium,BE
1001123,Machelen,Flanders,Belgium,BE
1001125,Meise,Flanders,Belgium,BE
1001129,Opwijk,Flanders,Belgium,BE
1001130,Overijse,Flanders,Belgium,BE
1001133,Roosdaal,Flanders,Belgium,BE
1001134,Rotselaar,Flanders,Belgium,BE
1001136,Sint-Pieters-Leeuw,Flanders,Belgium,BE
1001138,Steenokkerzeel,Flanders,Belgium,BE
1001140,Ternat,Flanders,Belgium,BE
1001141,Tervuren,Flanders,Belgium,BE
1001142,Tienen,Flanders,Belgium,BE
1001143,Tremelo,Flanders,Belgium,BE
1001145,Vilvoorde,Flanders,Belgium,BE
1001150,Zaventem,Flanders,Belgium,BE
1001152,Alken,Flanders,Belgium,BE
1001153,Beringen,Flanders,Belgium,BE
1001154,Bilzen,Flanders,Belgium,BE
1001157,Bree,Flanders,Belgium,BE
1001159,Diepenbeek,Flanders,Belgium,BE
